J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.0064059719011858255,0.9491098156609421,0.013946902730157296,0.9157554266345089,0.15513071205204085,3.0,HI-VAE_weibull
0.005978360683865702,0.9521033559161808,0.008884259606901873,0.9318465549833779,0.13309266398376557,5.0,HI-VAE_weibull
0.00641396820593079,0.950842917913975,0.014705373962987218,0.9259116094126849,0.08930826634717622,2.0,HI-VAE_weibull
0.006058782745800808,0.9554120056719708,0.006525249292126255,0.9137546444169221,0.0879277775837172,2.0,HI-VAE_weibull
0.006418290936045078,0.9470616039073577,0.01889704370621296,0.9147570562544814,0.16399022160894727,2.0,HI-VAE_weibull
0.005595772322196873,0.9535213486686623,0.006409029054213172,0.9227768724333487,0.1158911062672939,5.0,HI-VAE_weibull
0.0057565718054950026,0.9573026626752799,0.008901704250679831,0.9207727006062185,0.10466655504470487,2.0,HI-VAE_weibull
0.006288531490925107,0.9497400346620449,0.010435210022589006,0.9198262173261196,0.12594301281984513,5.0,HI-VAE_weibull
0.005541262515320133,0.9560422246730738,0.015141999891663791,0.9311884492536342,0.0970109497498883,4.0,HI-VAE_weibull
0.005884126501543862,0.9539940129194894,0.006859897707292108,0.9029798578971382,0.0942631146847056,3.0,HI-VAE_weibull
0.005878254925796315,0.9563573341736255,0.008979962841303405,0.9232765791017534,0.1002256811808625,3.0,HI-VAE_weibull
0.005869596432544782,0.9521033559161808,0.012661218859527663,0.9152441170718989,0.11945530653160444,3.0,HI-VAE_weibull
0.006643918150818457,0.9491098156609421,0.010369142352332602,0.9174099472003128,0.14309305239580145,5.0,HI-VAE_weibull
0.00590029767480518,0.9533637939183867,0.009154921290065,0.9151902744280033,0.13143117823128117,5.0,HI-VAE_weibull
0.006257034231898223,0.954309122420041,0.011893912045446953,0.922373508897725,0.12278357702945389,3.0,HI-VAE_weibull
0.00701233161551999,0.946904049157082,0.023519490039506312,0.9187476696434391,0.10038448734299132,1.0,HI-VAE_weibull
0.006843986059467213,0.9483220419095635,0.010200967033437525,0.9241049475262368,0.12494159145508128,2.0,HI-VAE_weibull
0.005547000359405856,0.9587206554277613,0.005182384265823722,0.9297103187536667,0.08159193721666703,1.0,HI-VAE_weibull
0.00582908490949973,0.9530486844178352,0.012054864357400575,0.9290028029463528,0.1005551971123665,3.0,HI-VAE_weibull
0.005942849055249413,0.952576020167008,0.017667492172592194,0.9315416204941007,0.17863488236456304,6.0,HI-VAE_weibull
0.005772695857871055,0.953678903418938,0.009114428185309139,0.9175566129978489,0.11110205563005993,3.0,HI-VAE_weibull
0.006231116666030229,0.9538364581692139,0.015010442299191374,0.9106209503943681,0.09549618175583846,1.0,HI-VAE_weibull
0.006458260151938049,0.9558846699227982,0.022480423411649277,0.9262516133237728,0.12167206839892314,5.0,HI-VAE_weibull
0.005841325770303666,0.9505278084134237,0.017914805773212382,0.9151954892119158,0.14134781996323723,3.0,HI-VAE_weibull
0.005950930956775288,0.9541515676697653,0.016834720129786217,0.9233743563001109,0.1312424005594629,5.0,HI-VAE_weibull
0.0062584418663931,0.9519458011659051,0.012186126379108195,0.9175534841275015,0.13971078688467367,4.0,HI-VAE_weibull
0.005825722149519067,0.9550968961714195,0.010574671787815125,0.9099530669447885,0.16135290584900952,5.0,HI-VAE_weibull
0.00601071646651647,0.9492673704112179,0.011277648750098752,0.9338092692784044,0.11474237134455859,3.0,HI-VAE_weibull
0.005973633504629439,0.953678903418938,0.023011530788173647,0.9154858223062382,0.14103449016139785,3.0,HI-VAE_weibull
0.00583318069941036,0.9546242319205924,0.011227734783516116,0.9302173261195488,0.11188903907314834,3.0,HI-VAE_weibull
0.00577564708331622,0.9547817866708681,0.011290616231501757,0.9295083762466593,0.1017301833510374,5.0,HI-VAE_weibull
0.005753805061564599,0.9514731369150781,0.011069950791290126,0.9225688025552442,0.09642124617669767,1.0,HI-VAE_weibull
0.006037787423533205,0.9532062391681109,0.011950951064703353,0.9323699889185841,0.11221468462737857,4.0,HI-VAE_weibull
0.005655272559099796,0.9565148889239011,0.011923151209588576,0.9113079981748257,0.09270401211451666,5.0,HI-VAE_weibull
0.006300493652583262,0.9491098156609421,0.012206722770163448,0.912743628185907,0.11656047800256311,4.0,HI-VAE_weibull
0.006787539517718833,0.944068063652119,0.016109503843545654,0.916366729678639,0.10800658239711806,3.0,HI-VAE_weibull
0.005902928247177083,0.9498975894123208,0.005236144362788363,0.930549116745975,0.11818192528209534,3.0,HI-VAE_weibull
0.0058560606237539415,0.9530486844178352,0.01133832758079731,0.919169284922756,0.13548038003969765,2.0,HI-VAE_weibull
